orgCode,school,stuPerCPU,classOnInternet
30560,Boston - Boston Latin,4.6,100
,,,
30545,Boston - Boston Latin Academy,6.4,100
,,,
30413,Boston - Boston Middle School Academy,0.1,100
,,,
30012,Boston - Boston Teachers Union School,1.4,100
,,,
30505,Boston - Brighton High,3.1,100
,,,
30576,Boston - Brook Farm Business and Service Career Academy,2.8,100
,,,
30036,Boston - Carter Developmental Center,1.2,100
,,,
30054,Boston - Charles H Taylor,4.5,100
,,,
30052,Boston - Charles Sumner,4.1,100
,,,
30515,Boston - Charlestown High,2.8,100
,,,
30430,Boston - Clarence R Edwards Middle,4,100
,,,
30518,Boston - Community Academy,0.8,100
,,,
30581,Boston - Community Academy of Science and Health,2,100
,,,
30020,Boston - Curley K-8 School,3.7,100
,,,
30062,Boston - Curtis Guild,3.2,100
,,,
30066,Boston - Dante Alighieri,3.4,100
,,,
30072,Boston - David A Ellis,3.5,100
,,,
30074,Boston - Dearborn,3.1,100
,,,
30077,Boston - Dennis C Haley,1.8,100
,,,
30080,Boston - Donald Mckay,3.6,100
,,,
30651,Boston - Dorchester Academy,1.1,100
,,,
30008,Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,1.9,100
,,,
30266,Boston - Dr. William Henderson,2.5,100
,,,
30005,Boston - ELC - East Zone,2.3,100
,,,
30006,Boston - ELC - West Zone,1.2,100
,,,
30009,Boston - East Boston ECC,2.8,100
,,,
30530,Boston - East Boston High,3.6,100
,,,
30375,Boston - Edison K-8,4.2,100
,,,
30088,Boston - Edward Everett,3.9,100
,,,
30543,Boston - Egleston Comm High School,1.8,100
,,,
30094,Boston - Elihu Greenwood Leadership Academy,4.7,100
,,,
30096,Boston - Eliot Elementary,2.5,100
,,,
30100,Boston - Ellis Mendell,4,100
,,,
30102,Boston - Emily A Fifield,5,100
,,,
30522,Boston - Excel High School,1.3,100
,,,
30108,Boston - Farragut,3.2,100
,,,
30540,Boston - Fenway High School,1.4,100
,,,
30116,Boston - Franklin D Roosevelt,8,100
,,,
30326,Boston - Gardner Pilot Academy,2.4,100
,,,
30122,Boston - George H Conley,3.1,100
,,,
30426,Boston - Harbor School,0.9,100
,,,
30200,Boston - Harvard-Kent,3.5,100
,,,
30010,Boston - Haynes Early Education Center,3.2,100
,,,
30135,Boston - Henry Grew,2.4,100
,,,
30377,Boston - Higginson/Lewis K-8,3,100
,,,
30750,Boston - Horace Mann School for the Deaf,1.2,100
,,,
30141,Boston - Hugh Roe O'Donnell,3,100
,,,
30013,Boston - Jackson Mann,5.4,100
,,,
30146,Boston - James Condon Elem,6.1,100
,,,
30154,Boston - James J Chittick,4.1,100
,,,
30156,Boston - James Otis,4.2,100
,,,
30485,Boston - James P Timilty Middle,4.5,100
,,,
30153,Boston - James W Hennigan,3.6,100
,,,
30525,Boston - Jeremiah E Burke High,3.6,100
,,,
30172,Boston - John D Philbrick,1.7,100
,,,
30166,Boston - John F Kennedy,3.4,100
,,,
30178,Boston - John Marshall,4.5,100
,,,
30167,Boston - John P Holland,5.2,100
,,,
30179,Boston - John W McCormack,3.5,100
,,,
30180,Boston - John Winthrop,6.9,100
,,,
30182,Boston - Joseph J Hurley,4.5,100
,,,
30183,Boston - Joseph Lee,3.3,100
,,,
30184,Boston - Joseph P Manning,2.1,100
,,,
30181,Boston - Joseph P Tynan,4.1,100
,,,
30286,Boston - Josiah Quincy,4.7,100
,,,
30190,Boston - Joyce Kilmer,2.6,100
,,,
30376,Boston - King K-8,2.7,100
,,,
30001,Boston - Lee Academy,6,100
,,,
30383,Boston - Lilla G. Frederick Middle School,2.5,100
,,,
30262,Boston - Lyndon,4.8,100
,,,
30004,Boston - Lyon K-8,0.6,100
,,,
30655,Boston - Lyon Upper 9-12,1.4,100
,,,
30537,Boston - Madison Park High,1.5,100
,,,
30215,Boston - Manassah E Bradley,6,100
,,,
30405,Boston - Mario Umana Middle School Academy,3.6,100
,,,
30227,Boston - Mather,3.5,100
,,,
30226,Boston - Mattahunt,3.4,100
,,,
30229,Boston - Maurice J Tobin,6.7,100
,,,
30578,Boston - Media Communications Technology High School,1.8,100
,,,
30231,Boston - Michael J Perkins,1.9,100
,,,
30378,Boston - Mildred Avenue K-8,1.9,100
,,,
