Org Name,OrgCode,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% GED,% Dropped Out,% Permanently Excluded
Dighton-Rehoboth - Dighton-Rehoboth Rhs,6500505,252,91.7,2.8,0,1.6,4,0
Douglas - Douglas High School,770505,114,91.2,0.9,0,0,7,0.9
Dover-Sherborn - Dover-Sherborn Reg High,6550505,124,95.2,4.8,0,0,0,0
Dracut - Dracut Senior High,790505,305,89.2,3.3,0.7,3,3.9,0
Dudley-Charlton Reg - Shepherd Hill Reg High,6580505,288,91,3.1,0,1.7,4.2,0
Duxbury - Duxbury High,820505,215,98.6,0,0,0.5,0.9,0
East Bridgewater - East Bridgewater High,830505,138,91.3,0.7,0,1.4,6.5,0
East Longmeadow - East Longmeadow High,870505,242,96.7,0.8,0,0.8,1.7,0
Easthampton - Easthampton High,860505,121,74.4,10.7,1.7,6.6,6.6,0
Easton - Oliver Ames High,880505,282,94.3,1.4,0.4,2.1,1.8,0
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),4520505,46,100,0,0,0,0,0
Essex Agricultural Technical - Essex Agr and Tech Inst,9130705,113,96.5,1.8,0,0,1.8,0
Everett - Everett High,930505,422,77,6.4,2.6,2.4,11.4,0.2
Fairhaven - Fairhaven High,940505,153,82.4,3.9,1.3,0.7,11.8,0
Fall River - B M C Durfee High,950505,514,79.2,3.1,4.3,2.7,10.7,0
Fall River - Resiliency Preparatory School,950325,88,36.4,18.2,3.4,5.7,36.4,0
Falmouth - Falmouth High,960505,249,88.4,2.4,0,1.6,7.6,0
Fitchburg - Fitchburg Alt. ED Program,970510,153,55.6,19,1.3,2,21.6,0.7
Fitchburg - Fitchburg High,970505,286,81.5,4.9,1.7,3.5,7,1.4
Four Rivers Charter Public (District) - Four Rivers Charter Public School,4130505,27,88.9,0,0,11.1,0,0
Foxborough - Foxborough High,990505,229,96.1,2.2,0,0.4,1.3,0
Foxborough Regional Charter (District) - Foxborough Regional Charter School,4460550,27,100,0,0,0,0,0
Framingham - Framingham H S,1000515,533,84.6,6,1.7,0.9,6.6,0.2
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,4780505,59,91.5,8.5,0,0,0,0
Franklin - Franklin High,1010505,417,94.5,1.9,0,0.5,3.1,0
Franklin County Regional Vocational Technical - Franklin County Tech,8180605,112,92.9,2.7,1.8,0,2.7,0
Freetown-Lakeville - Apponequet Regional High,6650505,211,92.4,0.9,0,1.4,5.2,0
Frontier - Frontier Reg,6700505,109,90.8,1.8,0,1.8,5.5,0
Gardner - Gardner Academy for Learning and Technology,1030515,28,39.3,28.6,7.1,0,21.4,3.6
Gardner - Gardner High,1030505,189,81,6.9,1.1,1.6,9,0.5
Gateway - Gateway Reg High,6720505,74,85.1,4.1,1.4,6.8,2.7,0
Georgetown - Georgetown Middle/High,1050505,95,93.7,4.2,0,1.1,1.1,0
Gill-Montague - Turners Fall High,6740505,72,68.1,12.5,1.4,2.8,15.3,0
Global Learning Charter Public (District) - Global Learning Charter Public School,4960305,12,83.3,0,8.3,0,8.3,0
Gloucester - Gloucester High,1070505,296,87.5,5.7,0,0.7,6.1,0
Grafton - Grafton Memorial Senior,1100505,178,87.1,5.6,0,0.6,6.7,0
Granby - Granby Jr Sr High Sch,1110505,98,90.8,5.1,2,1,1,0
Greater Fall River Regional Vocational Technical - Diman Reg Voc Tech High,8210605,322,95.7,0.9,0.9,0.3,2.2,0
Greater Lawrence Regional Vocational Technical - Gr Lawrence Reg Voc Tech,8230605,256,82.4,8.2,1.6,0.4,7,0.4
Greater Lowell Regional Vocational Technical - Gr Lowell Reg Voc Tech,8280605,468,92.1,2.6,1.9,0.4,3,0
Greater New Bedford Regional Vocational Technical - Gr New Bedford Voc Tech,8250605,487,94.9,2.5,0.4,0.2,1.4,0.6
Greenfield - Greenfield High,1140505,107,79.4,4.7,4.7,1.9,9.3,0
Groton-Dunstable - Groton Dunstable Regional,6730505,226,98.2,0.9,0,0,0.9,0
Hadley - Hopkins Academy,1170505,45,97.8,0,0,0,2.2,0
Hamilton-Wenham - Hamilton-Wenham Reg High,6750505,164,97.6,1.2,1.2,0,0,0
Hampden-Wilbraham - Minnechaug Reg High,6800505,307,93.5,1.6,0,0.7,3.3,1
Hampshire - Hampshire Reg High,6830505,136,90.4,2.9,0,2.2,4.4,0
Hanover - Hanover High,1220505,153,97.4,2.6,0,0,0,0
Harvard - Bromfield,1250505,107,97.2,0.9,0,0,1.9,0
Harwich - Harwich High,1260505,92,84.8,3.3,0,2.2,9.8,0
Hatfield - Smith Academy,1270505,23,82.6,0,0,0,17.4,0
Haverhill - Haverhill Alternative School,1280033,9,22.2,33.3,0,11.1,33.3,0
Haverhill - Haverhill High,1280505,464,69.2,11.2,1.3,3.2,15.1,0
Hingham - Hingham High,1310505,247,95.1,1.6,0,0.8,2.4,0
Holbrook - Holbrook Jr Sr High,1330505,69,78.3,10.1,1.4,4.3,4.3,1.4
Holliston - Holliston High,1360505,218,98.2,1.4,0,0,0.5,0
Holyoke - Center for Excellence,1370525,12,0,50,0,0,50,0
Holyoke - Holyoke High,1370505,296,67.6,9.8,2,3.7,16.6,0.3
Holyoke - Wm J Dean Voc Tech High,1370605,175,24.6,17.7,9.1,2.3,43.4,2.9
Hopedale - Hopedale Jr Sr High,1380505,78,88.5,2.6,0,2.6,6.4,0
Hopkinton - Hopkinton High,1390505,257,99.2,0.4,0,0,0.4,0
Hudson - Hudson High,1410505,261,88.1,5.7,0,0.8,5.4,0
Hull - Hull High,1420505,94,86.2,4.3,0,3.2,6.4,0
Innovation Academy Charter (District) - Innovation Academy Charter School,4350305,41,75.6,14.6,0,2.4,7.3,0
Ipswich - Ipswich High,1440505,160,94.4,1.3,0,2.5,1.9,0
King Philip - King Philip Reg High,6900505,334,88,3.3,0,3.3,5.4,0
Lawrence - Business Management & Finance High School,1490530,124,65.3,4.8,4.8,6.5,18.5,0
Lawrence - Health & Human Services High School,1490531,117,59.8,8.5,1.7,6,23.9,0
Lawrence - High School Learning Center,1490536,112,10.7,32.1,0.9,9.8,46.4,0
Lawrence - Humanities & Leadership Development High School,1490532,124,70.2,6.5,0.8,1.6,21,0
Lawrence - International High School,1490534,144,52.8,9.7,18.8,0.7,18.1,0
"Lawrence - Math, Science & Technology High School",1490533,116,64.7,14.7,0.9,6,13.8,0
Lawrence - Performing & Fine Arts High School,1490535,116,56,19.8,3.4,0.9,19.8,0
Lawrence - School for Exceptional Studies,1490537,24,8.3,25,0,8.3,58.3,0
Lee - Lee Middle/High School,1500505,93,88.2,2.2,0,2.2,7.5,0
Leicester - Leicester High,1510505,134,91,2.2,0,3.7,3,0
Lenox - Lenox Memorial High,1520505,66,95.5,1.5,0,1.5,1.5,0
Leominster - Leominster Ctr Tech Educ,1530605,114,88.6,2.6,0,2.6,5.3,0.9
Leominster - Leominster Senior High,1530505,275,92.7,2.2,0,1.8,3.3,0
Lexington - Lexington High,1550505,490,95.3,2,0.2,0.4,2,0
Lincoln-Sudbury - Lincoln-Sudbury Reg High,6950505,380,97.9,2.1,0,0,0,0
Littleton - Littleton High School,1580505,95,96.8,0,0,0,3.2,0
Longmeadow - Longmeadow High,1590505,241,97.9,0.4,0,0.4,1.2,0
Lowell - Lowell High,1600505,823,70.4,12.6,2.2,1.9,12.6,0.2
Lowell Middlesex Academy Charter (District) - Lowell Middlesex Academy Charter School,4580505,74,13.5,31.1,0,16.2,37.8,1.4
Ludlow - Ludlow Senior High,1610505,222,89.2,6.8,0.9,0,3.2,0
Lunenburg - Lunenburg High,1620505,131,90.1,3.8,0.8,1.5,3.8,0
Lynn - Classical High,1630505,328,75.3,5.5,4.6,2.1,12.5,0
Lynn - Fecteau-Leary Junior/Senior High School,1630525,56,19.6,30.4,7.1,12.5,28.6,1.8
Lynn - Lynn English High,1630510,425,80.2,6.4,1.6,3.5,8.2,0
Lynn - Lynn Voc Tech Institute,1630605,268,55.2,11.6,6.3,3.7,23.1,0
Lynnfield - Lynnfield High,1640505,178,97.8,1.1,0,0,1.1,0
Ma Academy for Math and Science - Ma Academy for Math and Science School,4680505,48,100,0,0,0,0,0
Malden - Malden High,1650505,504,75.4,10.7,0.6,2.4,10.9,0
Manchester Essex Regional - Manchester Essex Regional High School,6980510,112,97.3,0.9,0,0,1.8,0
Mansfield - Mansfield High,1670505,373,96.2,1.6,0,0.3,1.9,0
Marblehead - Marblehead High,1680505,259,96.9,1.9,0,0.4,0.8,0
Marlborough - Marlborough High,1700505,261,85.4,7.3,0.8,0.4,6.1,0
Marshfield - Marshfield High,1710505,316,93,4.1,0.3,0.3,2.2,0
Martha's Vineyard Charter (District) - Martha's Vineyard Charter School,4660550,10,80,10,0,0,10,0
Marthas Vineyard - Marthas Vineyard Reg High,7000505,171,94.2,1.2,1.2,0.6,2.9,0
Masconomet - Masconomet Regional HS,7050505,333,99.4,0.6,0,0,0,0
Mashpee - Mashpee High,1720505,150,78.7,4.7,0.7,6.7,9.3,0
MATCH Charter Public School (District) - MATCH Charter Public School,4690505,43,65.1,30.2,0,0,4.7,0
Maynard - Maynard High,1740505,87,86.2,6.9,0,2.3,4.6,0
Medfield - Medfield Senior High,1750505,235,98.7,0.9,0,0,0.4,0
Medford - Curtis-Tufts,1760510,11,18.2,36.4,9.1,0,36.4,0
Medford - Medford High,1760505,288,84,6.6,0.7,2.1,6.6,0
Medford - Medford Voc Tech High,1760605,71,77.5,11.3,0,2.8,8.5,0
Medway - Medway High,1770505,209,98.6,0,0.5,0,1,0
Melrose - Melrose High,1780505,236,92.4,4.7,0,0,3,0
Mendon-Upton - Nipmuc Regional High,7100510,196,94.4,3.1,0,1,1,0.5
Methuen - Methuen High,1810505,470,81.7,5.7,1.7,3.4,7.4,0
Middleborough - Middleborough High,1820505,207,94.7,1.9,0,1,1,1.4
Milford - Milford High,1850505,312,85.9,5.1,0.6,1.9,6.1,0.3
Millbury - Millbury Jr/Sr High,1860505,172,94.2,0,0.6,2.3,2.9,0
Millis - Millis High School,1870505,93,95.7,2.2,0,1.1,1.1,0
Milton - Milton High,1890505,259,95,2.3,0,0.8,1.9,0
Minuteman Regional Vocational Technical - Minuteman Regional High,8300605,152,87.5,6.6,0,0.7,4.6,0.7
Mohawk Trail - Mohawk Trail Reg High,7170505,85,78.8,2.4,0,5.9,11.8,1.2
Monson - Monson High School,1910505,119,87.4,5,0,3.4,4.2,0
Montachusett Regional Vocational Technical - Montachusett Reg Voc Tech,8320605,298,95.6,2.7,0,0.3,1,0.3
Mount Greylock - Mt Greylock Reg High,7150505,78,94.9,1.3,0,1.3,2.6,0
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,4700105,73,95.9,2.7,0,0,1.4,0
Nantucket - Nantucket High,1970505,100,88,5,0,1,6,0
Narragansett - Narragansett Reg High,7200505,104,90.4,1.9,0,1.9,4.8,1
Nashoba - Nashoba Regional,7250505,218,95.4,1.8,0,0.9,1.8,0
Nashoba Valley Regional Vocational Technical - Nashoba Valley Tech H S,8520605,147,96.6,2.7,0,0,0.7,0
Natick - Natick High,1980505,329,93,4,0.3,0.9,1.8,0
Nauset - Nauset Regional High,6600505,257,90.7,4.7,1.2,1.2,2.3,0
Needham - Needham High,1990505,316,98.7,0.6,0,0.3,0.3,0
New Bedford - New Bedford High,2010505,681,58.9,15.6,6,2.1,17.5,0
New Bedford - Trinity Day Academy,2010510,27,22.2,3.7,3.7,3.7,66.7,0
New Bedford - Whaling City JR./SR. High School,2010515,12,41.7,33.3,0,8.3,16.7,0
New Leadership Charter (District) - New Leadership Charter School,4710405,63,66.7,7.9,0,1.6,22.2,1.6
Newburyport - Newburyport High,2040505,187,93.6,1.1,0,0.5,3.7,1.1
Newton - Newton North High,2070505,448,95.8,3.3,0,0.2,0.7,0
Newton - Newton South High,2070510,447,97.5,1.8,0,0.2,0.4,0
Norfolk County Agricultural - Norfolk County Agr,9150705,105,99,0,0,0,1,0
North Adams - Drury High,2090505,120,73.3,6.7,0.8,4.2,15,0
North Andover - North Andover High,2110505,309,95.5,2.3,1,0,1.3,0
North Attleborough - North Attleboro High,2120505,309,89.3,4.2,0.3,1,5.2,0
North Brookfield - North Brookfield High,2150505,53,90.6,0,0,1.9,7.5,0
North Central Charter Essential (District) - North Central Charter Essential School,4740505,44,65.9,9.1,0,11.4,11.4,2.3
North Middlesex - North Middlesex Reg,7350505,293,92.8,3.1,0,1.7,2.4,0
North Reading - North Reading High,2170505,179,93.3,4.5,0,1.7,0.6,0
North Shore Regional Vocational Technical - North Shore Reg Voc,8540605,109,97.2,2.8,0,0,0,0
Northampton - Northampton High,2100505,255,90.2,2,1.2,2.4,3.9,0.4
Northampton-Smith Vocational Agricultural - Smith Voc and Agr High,4060705,105,81.9,4.8,1.9,3.8,7.6,0
Northboro-Southboro - Algonquin Reg High,7300505,357,95.5,2.8,0,0.8,0.8,0
Northbridge - Northbridge High,2140505,172,78.5,4.1,0.6,2.9,14,0
Northeast Metropolitan Regional Vocational Technical - Northeast Metro Reg Voc,8530605,289,94.5,3.1,0.7,0,1,0.7
Northern Berkshire Regional Vocational Technical - Charles McCann Voc Tech,8510605,125,96.8,0,0,0.8,2.4,0
Norton - Norton High,2180505,179,92.7,1.1,0.6,1.7,3.9,0
Norwell - Norwell High,2190505,160,97.5,2.5,0,0,0,0
Norwood - Norwood High,2200505,267,89.9,6.4,0,0,3.7,0
Old Colony Regional Vocational Technical - Old Colony Reg Voc Tech,8550605,132,97,0,0.8,0,2.3,0
Old Rochester - Old Rochester Reg High,7400505,195,92.8,2.6,2.6,1,1,0
Oxford - Oxford High,2260505,141,78.7,7.8,0.7,5.7,7.1,0
Palmer - Palmer High,2270505,116,71.6,6.9,0.9,5.2,15.5,0
Pathfinder Regional Vocational Technical - Pathfinder Voc Tech,8600605,138,86.2,6.5,2.9,1.4,2.9,0
Peabody - Peabody Veterans Memorial High,2290510,490,82.2,7.8,0.2,2.7,7.1,0
Pembroke - Pembroke High School,2310505,240,95.8,1.3,0.8,0.8,1.3,0
Pentucket - Pentucket Reg Sr High,7450505,220,92.7,1.8,0,2.3,3.2,0
Phoenix Charter Academy (District) - Phoenix Charter Academy,4930505,71,12.7,28.2,1.4,5.6,50.7,1.4
